COUNTRY_REGION,Missing_pct
BIH,100
TKM,55.55555555555556
BGR,48.888888888888886
MCO,48.888888888888886
GRC,33.33333333333333
EST,26.666666666666668
FRA,22.22222222222222
TJK,22.22222222222222
CZE,20
CHE,20
HRV,17.77777777777778
IRL,17.77777777777778
SVK,17.77777777777778
SVN,17.77777777777778
AND,15.555555555555555
AZE,15.555555555555555
GBR,15.555555555555555
ARM,13.333333333333334
BEL,13.333333333333334
DNK,11.11111111111111
ISR,11.11111111111111
MLT,11.11111111111111
SRB,11.11111111111111
DEU,8.88888888888889
NOR,8.88888888888889
ROU,8.88888888888889
ALB,6.666666666666667
AUT,6.666666666666667
HUN,6.666666666666667
LVA,6.666666666666667
MNE,6.666666666666667
RUS,6.666666666666667
NLD,4.444444444444445
PRT,4.444444444444445
SMR,4.444444444444445
BLR,2.2222222222222223
FIN,2.2222222222222223
KAZ,2.2222222222222223
KGZ,2.2222222222222223
LTU,2.2222222222222223
MKD,2.2222222222222223
MDA,2.2222222222222223
UZB,2.2222222222222223
ESP,2.2222222222222223
SWE,2.2222222222222223
TUR,2.2222222222222223
CYP,0
GEO,0
ISL,0
ITA,0
LUX,0
POL,0
UKR,0
